corpus,dataset,m_sil_tr,m_gmm_tr,m_sil_val,marg,marg_rel,iso,inter,best_local,best_global,glob_adv
oddbench,GeneticAnalysis,0.5025423836178639,0.8210239110755104,0.4916146008111777,0.8294185584813933,1.0567187930035906,1.1865568606783092,0.777027027027027,0.0549284144436325,0.1192143064522873,0.0642858920086548
ovrbench,GesturePhaseSegmentationProcessed,0.42618073187144767,0.2652052544905963,0.8848674050864659,1.0520798339495183,0.6315588223382068,0.4643671421065197,0.8075,0.3463518615771894,-0.0837164273224445,-0.4300682888996339
oddbench,GlobalTerrorismAttack,0.23007489363994746,0.6626969875412452,0.8590029852823827,1.3394314637480136,0.9979918324386914,0.9911519779208131,0.9425,-0.0098857803326206,0.1128701552195581,0.12275593555217869
oddbench,GroceryErrorDept,0.9478202213956457,1.412876329509954,0.9440817856119644,1.4857785136193367,3.9645168082263935,18.202791724683607,0.5272727272727272,0.4144693573958211,0.4388526722423,0.024383314846478932
ovrbench,HeadingDetection,0.47275835127680915,0.4206384265127894,0.4756344327404063,1.0700153301847872,0.77684618576837,1.122810622293337,0.975,0.0311561957990972,0.0201380499818505,-0.011018145817246701
oddbench,HeatVulnerability,0.2999448598888962,0.13755582428150961,0.3074855715094557,4.149606614348566,3.0526814870007977,3.2361723728427254,0.2825,0.0973569455882493,0.4733465507524976,0.3759896051642483
oddbench,HomicideCircumstance,0.3573810760454598,1.2374884721739463,0.3581321769940462,1.5753837700729663,1.1760722338850058,1.2321665657414977,0.9111111111111111,0.17514831049561,0.1527154509028715,-0.022432859592738497
oddbench,HospitalReadmissions,0.2597789474754259,0.870280080591283,0.2620402913565045,2.134218504412403,1.4327057915206067,2.176522799466803,0.43902439024390244,0.2537784852260515,0.0632902607593989,-0.1904882244666526
oddbench,HumanRobotCollaboration,0.3070296254742036,0.05299573597120581,0.301801406570489,1.2435903610975352,0.940351808452164,1.3289624475226653,0.975,0.0586146477789534,0.0647351570625083,0.006120509283554905
ovrbench,ImageSegmentation,0.35721517827360866,0.06708761513057096,0.3603540170012939,2.6842912678863278,1.2560554126834413,1.1308531356415286,0.24092409240924093,0.3215582766030876,0.0930483804826902,-0.2285098961203974
ovrbench,JobChangePatterns,0.44891611638669704,0.3464227434251059,0.4619150979248506,1.8804668396715942,1.842042933917225,1.1640605963415622,0.525,0.0322542467749602,0.2904328786173177,0.2581786318423575
ovrbench,JobMarket,0.2845033298461583,0.28351910353187565,0.2857243880640167,1.6241416747810569,1.1964272034032284,1.444531844291406,0.7522935779816514,0.8249830313102251,0.2558411009938805,-0.5691419303163445
ovrbench,KickstarterCampaigns,0.9346632173949074,0.941847390216123,0.9375424795208568,1.3264406707812078,1.1008019716945683,1.144308684608498,0.725,0.0247548337197748,0.3073133551839032,0.2825585214641284
oddbench,LandRarity,0.23064903556589764,0.21779168007990907,0.2467040948737507,1.3592274265354827,0.9143727858109505,1.0320592810925333,0.9761904761904762,0.0694201669040282,0.1789182906505611,0.10949812374653291
oddbench,LandShapeAnomaly,0.3403356176558585,0.38874550108073075,0.288278949101002,1.5564194324187541,1.1139680097146814,2.531486219998449,0.78,0.1162593954293755,0.1894726450978808,0.07321324966850531
ovrbench,MalariaDetection,0.6036843222083423,1.5662725807570426,0.6104361431399018,2.969618901186304,2.1796755089077626,1.480291871643677,0.1325,0.1619401467913767,0.5152900546481826,0.35334990785680587
ovrbench,MalwareHardwareMetrics,0.6133518631592954,0.9207963925596119,0.6057681300201866,2.5491268837278502,3.0972587533110643,4.4512218263953836,0.3775,0.5303636604002399,0.258083168190248,-0.27228049220999184
ovrbench,MissingInformation1,0.2012604701277825,0.05229952439628456,0.1974115055109448,3.6420931510202146,1.8769569946474012,1.3591810262982742,0.10408921933085502,0.4062934022209146,0.3014087717393039,-0.10488463048161067
ovrbench,MolecularAnomalies1,0.35984486807011223,0.05444189185749606,0.3667942577950946,4.138056636805099,1.6806018607520314,1.5527566283088234,0.020100502512562814,0.048755357973979,0.4093412349441023,0.3605858769701233
oddbench,MusicGenreAnomaly,0.4521503871512276,0.4835537273340466,0.442282469296036,2.1538610124909923,1.2759658300152565,1.3061239548180654,0.40625,0.7838959218951178,0.0830784484850521,-0.7008174734100657
