corpus,dataset,reg_udr,reg_matched,reg_em,reg_random,truefam
oddbench,RealEstateProperties,0.057093961157128295,0.0644179678908998,0.0644179678908998,0.0909923598957783,local
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.49542764189409266,0.6334083933655382,0.1749010053159304,0.375221221328782,global
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,0.2952979383100347,0.3132636314866596,0.3074514841449061,0.206161897434268,local
ovrbench,HeadingDetection,0.3403238360980501,0.3503255600962376,0.335013777256415,0.2576595080799982,local
dami,PageBlocks,0.12873034128811892,0.103491753314262,0.1341959412045122,0.1246679434605939,local
adbench,27_PageBlocks,0.2887303412881189,0.0425080069421955,0.294066291473962,0.2894162880208307,local
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.5454729466332096,0.1352131564090972,0.5313608242965928,0.2725377894574212,local
oddbench,AustinCrime,0.11389859576133168,0.1422382943892954,0.0446149521414836,0.10145813322169,local
ovrbench,thyroid-ann,0.03561161481022462,0.2823223535447199,0.2823223535447199,0.2105008558448232,global
ovrbench,GeneExpressionCoactivator,0.0667736165330926,0.0498150206483333,0.0076298564280398,0.1392561598054191,global
adbench,23_mammography,0.09202594580528439,0.0221779024714163,0.0978864693785729,0.0928505748064063,global
