corpus,dataset,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p
ovrbench,SyntheticNumericalBatch,0.0,0.005022518270094527,0.0,10,0.3351018227871933,0.0,0.7649873249672442,0.9933352306479182
ovrbench,GamingBehavior,0.5217391304347826,0.013127786191408424,0.6086956521739131,12,0.5711122679143323,0.0,0.841971937026993,0.996304471719416
ovrbench,ECGAnomaly,0.007142857142857143,0.005047004469847937,0.06428571428571428,10,0.5503883707506426,0.0,0.6348848494624371,0.9954083242787352
oddbench,AxieInfinityBug,0.875,0.03560675104923686,0.5,15,0.2621172962929181,0.03333333333333333,0.0,0.0
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.6666666666666666,0.038513101148967305,0.4166666666666667,8,0.9492137755855438,0.0,0.6897117180213123,0.0
oddbench,LandRarity,0.8571428571428571,0.0660300981698332,0.42857142857142855,14,0.23208122257611996,0.08333333333333333,0.0,0.0
oddbench,HealthBehavior,0.5,0.024889624451754393,0.5,13,0.34231785589289265,0.0,0.29707691630303745,0.9938122836011867
ovrbench,SpotifyHitPredictor,0.3076923076923077,0.018090376865910255,0.38461538461538464,7,0.1787254358923278,0.0,0.6700138141518794,0.9986650196963258
ovrbench,UserInteraction1,0.5555555555555556,0.02967258254006299,0.6666666666666666,10,0.5168658662974042,0.6166666666666667,0.0,0.0
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.875,0.08343032792862262,0.8125,14,0.5955940349170511,0.5333333333333333,0.0,0.0
ovrbench,AbstractAnomalyBatch,0.03076923076923077,0.005333044232422607,0.6307692307692307,12,0.9647527784955903,0.0,0.7588853926721545,0.999232137135619
oddbench,VoteOutcome,0.5,0.015583950896420597,0.625,12,0.9103841812699102,0.03333333333333333,0.0037161658750805016,0.9921687882397399
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.4253731343283582,0.035646524078557784,0.5223880597014925,14,0.1483164511166487,0.0,0.5918282599280735,0.0
ovrbench,students_dropout_and_academic_success,0.8571428571428571,0.059737412177985956,0.42857142857142855,8,0.6439075053733925,0.11666666666666667,9.409322186271218e-05,0.0
ovrbench,visualizing_soil,0.6666666666666666,0.022255993238165798,0.3333333333333333,15,0.4618701586462116,0.4666666666666667,0.0,9.261541530358741e-07
oddbench,CasePriority,1.0,0.05782696236833034,0.8888888888888888,11,0.8853794878176792,1.0,0.0,0.0
adbench,44_Wilt,0.0,0.005337737884042823,0.4,7,0.6647059661956133,0.0,0.3302250546462244,0.9502873431995105
oddbench,GeneticAnalysis,0.0,0.005079357489421554,1.0,11,0.49618775400104537,0.0,0.8089018125209588,0.9979968385250421
dami,Wilt,0.0,0.005337737884042794,0.4,7,0.6647059661956134,0.0,0.33022505464620344,0.9502873431994892
oddbench,ProgrammingAnomalies,0.6666666666666666,0.07312933471246764,1.0,14,0.47992919792669103,0.43333333333333335,0.0,0.005220540684392594
oddbench,RealEstateBlockType,0.6666666666666666,0.03166764601461377,0.3333333333333333,13,0.45536943209355557,0.15,0.0,0.7472976263580848
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.8125,0.08199071445411846,0.5625,13,0.5524125697750251,0.4166666666666667,0.0,0.0
ovrbench,HealthMetrics,0.3333333333333333,0.0102597887615629,0.3333333333333333,9,0.37566593153543276,0.0,0.1828947423865861,0.9992733946366288
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.875,0.06509949675487703,0.6875,12,0.5499511341045021,0.4666666666666667,0.0,0.0
oddbench,UserEventAnomalies,1.0,0.040658638211025964,0.0,11,0.4403656858352743,0.1,7.472443840805809e-06,0.0378680943749492
oddbench,BugSeverity,0.8636363636363636,0.07106135785929407,0.2727272727272727,11,0.24104494399046167,0.0,0.5577623058796499,0.9835411709548342
ovrbench,mozilla4,0.75,0.01451914325771116,0.75,11,0.36893952770342475,0.05,4.565431509728768e-06,0.9941040361784024
ovrbench,BankruptcyForecast,0.015625,0.005288770584542094,0.578125,11,0.3380793765392836,0.0,0.5592029403860888,0.9990335272442179
oddbench,CarMakeAnomaly,0.5,0.03428257191962562,0.25,14,0.28890903402328094,0.0,0.5185773252949888,0.9968787968899918
ovrbench,ozone-level-8hr,0.7777777777777778,0.02005856610868844,0.16666666666666666,5,0.3233517358888198,0.0,0.4976220721960376,0.0062996577260096
ovrbench,seismic-bumps,0.3333333333333333,0.011016757144305334,0.6666666666666666,9,0.5468191817804556,0.0,0.8933413833305204,1.0
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.9375,0.07534534536427098,0.625,15,0.5319298127509511,0.75,0.0,0.0
oddbench,AustinCrime,1.0,0.04906597973886545,0.25,15,0.8652104190754594,1.0,0.0,0.0
ovrbench,GeneExpressionCoactivator,0.0,0.005591471013999185,0.0,6,0.23492145396870648,0.0,0.5399022488396139,0.9831669677069443
oddbench,RealEstateProperties,1.0,0.051098214285714295,0.75,14,0.4494158082835094,0.23333333333333334,0.0,0.9049906866627564
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.44776119402985076,0.03747989211801879,0.5597014925373134,14,0.1701868068105154,0.0,0.5511980862655232,1.976840052619888e-05
ovrbench,thyroid-ann,1.0,0.0286117724867725,0.16666666666666666,12,0.341612159288015,0.0,0.7330701317420918,0.7138845707065915
adbench,23_mammography,1.0,0.05635941156272558,1.0,10,0.546419689181969,0.7166666666666667,0.0,0.0
oddbench,DeveloperSurvey,1.0,0.09048125,0.8,15,0.2972700564613741,0.1,0.0,0.06744049929970786
oddbench,GenomicSequencing,0.9,0.05795981396422049,0.9,8,0.2265029548056802,0.05,0.0,0.0
