corpus,dataset,truefam,reg_small,reg_edge,reg_beta1,reg_random,rho_small,rho_edge,rho_beta1
ovrbench,visualizing_soil,global,0.5469994029630163,0.7009333875939728,0.5769539622518834,0.5888126463329089,0.31874356333676623,-0.24897013388259526,0.44799176107106076
ovrbench,AbstractAnomalyBatch,local,0.8391621812541312,0.9210147734381384,0.8824316690073153,0.6372376981241812,-0.5446066054854114,-0.44201680672268906,-0.21436210847975554
ovrbench,GamingBehavior,local,0.4262920940970823,0.4262920940970823,0.3009563002803129,0.3428338571318695,-0.2445774648154255,-0.38404118404118404,0.7572715572715573
oddbench,GeneticAnalysis,global,0.13239896618664718,0.07128240374316423,0.05156207522543253,0.0840856420416142,-0.8212925377660029,-0.12358393408856849,-0.008496395468589085
oddbench,AxieInfinityBug,global,0.041797939123454315,0.10898974687571178,0.0776204631187842,0.08773202241735498,-0.027348662836691878,-0.07955182072829133,0.39803921568627454
oddbench,RealEstateBlockType,global,0.10280071943858707,0.0,0.01732044233409953,0.0940757202839973,0.2813152346476065,0.0067245727094424204,0.4373774166433175
oddbench,WaterPointFunctionality,local,0.09435749932870549,0.08701884157829957,0.0,0.096924628637171,0.46361790155012655,0.3596638655462185,-0.2554621848739496
oddbench,SMSClassification,global,0.2256395958449219,0.07809662933883138,0.4520885863648636,0.279377237994497,0.08542833952510957,0.29806949806949806,-0.06718146718146718
ovrbench,KPIData,local,0.12566037216603448,0.11552353084555361,0.09676018356074964,0.08228459861717474,-0.782262996941896,-0.5275229357798165,0.6223241590214067
ovrbench,ShuttleOperations,local,0.015505775878048578,0.7238256989407665,0.0,0.5324326883391666,0.7457219005634426,-0.4648648648648649,0.864092664092664
oddbench,CasePriority,global,0.0358494520687721,0.1460787473807145,0.20090210094573036,0.21187619660782064,-0.2739206238548519,-0.00952871491115117,-0.33839814576358485
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,0.059164012875104574,0.07010899155579021,0.04822041738971427,0.0588132893386269,-0.13265163188121584,-0.3253957136853901,0.5091749544754166
adbench,44_Wilt,local,0.719914424078828,0.7360387711274029,0.18830805890822283,0.6091076763333486,-0.7907758948734741,-0.4127944394387951,0.8759171064487064
ovrbench,SpotifyHitPredictor,global,0.1848414089831031,0.18961113045327757,0.057203771046730745,0.19714042792981978,0.727800705626186,0.7773487773487774,0.25122265122265125
dami,Wilt,local,0.2708161161485835,0.24975512350346257,0.0,0.22177452219989663,-0.11115029421869164,-0.5332679647009385,0.5156184339543353
oddbench,TreadmillStatus,local,0.41611623229029104,0.6252022764128854,0.6528875246189886,0.49119734106264945,-0.5792127748984451,-0.5237428211234066,0.5355091749544754
ovrbench,students_dropout_and_academic_success,local,0.12692355304197586,0.14316891152305783,0.09980372521809033,0.1376726101456564,-0.32831947026870484,-0.3321964097232202,0.49395109395109404
ovrbench,MalariaDetection,global,0.4787353685972733,0.3079079894232825,0.8296380183362532,0.5705070354536572,0.20122484244193556,0.3752091646286523,-0.7755180846955849
