corpus,dataset,reg_ifr,reg_matched,reg_beta1,reg_em,reg_mv,truefam
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.1774063346197957,0.0,0.0,0.0421764730117541,0.0421764730117541,local
oddbench,RacingMotion,0.7221131043938975,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.9391296238090816,local
ovrbench,CryptojackingSystem,0.3090522499065192,0.0380697429721892,0.0380697429721892,0.3098955000917445,0.3066390227861265,local
oddbench,LandShapeAnomaly,-0.007979312451980441,0.0,0.0,0.0,0.0001137756751818,global
ovrbench,CreditScoringAnomalies,0.3086606995295739,0.2291441220924552,0.2291441220924552,0.3449406910975021,0.3449406910975021,local
ovrbench,XSSDetection,0.08679800159884993,0.6609194456633171,0.6609194456633171,0.0583345731254688,0.0583345731254688,global
ovrbench,NetworkHealthMonitor,0.10360024067464689,0.0492682469170519,0.0492682469170519,0.0945417471941545,0.0274881274508046,local
oddbench,OkCupidUserBehavior,0.027139487868746585,0.0390084893682385,0.0039277359654332,0.0277630324242884,0.0277630324242884,local
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.1983934607203385,0.0,0.0,0.0925233696462286,0.098640323409814,local
ovrbench,KDD,0.02527286746583559,0.0110817295035018,0.1165290207190014,0.0247752507512065,0.0247752507512065,global
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.09173828009183685,0.0164648149765341,0.0164648149765341,0.0525878652938817,0.0525878652938817,local
oddbench,PoliceForceDisturbance,0.48331583245058934,0.3709438884193876,0.3709438884193876,0.5682951306523132,0.3709438884193876,local
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.13124142527282456,0.0014848209479332,0.0014848209479332,0.0566662926688433,0.0566662926688433,local
ovrbench,WebpageSessionIntrusion,0.18046216130473347,0.1495045330961514,0.1495045330961514,0.1810210701450518,0.1810210701450518,local
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.09799797483418227,0.1287585235701099,0.1287585235701099,0.0942135803862977,0.0942135803862977,global
ovrbench,UrlAnalysis,0.2839491998298691,0.1491726598264051,0.8109193412716149,0.1380362119837001,0.1380362119837001,global
oddbench,CourseRegistration,0.38077676443626424,0.2084009519186615,0.2084009519186615,0.2084009519186615,0.2084009519186615,local
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.054904241158395595,0.0,0.0,0.0133291381727808,0.0059316015679905,local
dami,Annthyroid,0.20564980528876622,0.0,0.0,0.2945100225309301,0.2945100225309301,global
oddbench,GPUResourceUsage,0.4560882866482539,0.5518954438551077,0.5292207156179691,0.5240533414224882,0.5240533414224882,local
ovrbench,KenyaMovement,0.06099077564864008,0.0738478743517131,0.0175921024182883,0.0707709115277836,0.0682219076306264,local
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.11936579897101621,0.2851539865514387,0.2851539865514387,0.0893727616886981,0.0875738047022484,global
oddbench,DiamondClarity,0.8039225646628145,0.7507518505538945,0.0,0.7507518505538945,0.7507518505538945,local
oddbench,HealthBehavior,0.047319366837455724,0.0207888683526068,0.0207888683526068,0.0032205858277651,0.0032205858277651,global
ovrbench,ShillBidding,0.20382214889345968,0.0,0.0,0.0,0.0,global
oddbench,SalesPerformance,0.1690153218290238,0.1751880959002223,0.0759950433898424,0.0759950433898424,0.0759950433898424,global
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.2880644977954939,0.1864842965053323,0.1864842965053323,0.2736370219023818,0.2736370219023818,global
