dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,K,selection,seed,true_spread
28_pendigits,varweight,0.7333333333333332,0.5111111111111111,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.09551902552647151
29_Pima,borda,0.7939393939393938,0.6444444444444444,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.11858208955223892
29_Pima,mean,0.8545454545454544,0.7333333333333333,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.11858208955223892
29_Pima,varweight,0.9030303030303028,0.7777777777777777,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.11858208955223892
30_satellite,borda,0.709090909090909,0.5555555555555555,1,0.3333333333333333,10,,30,composite_top_quartile,0,0.2993771209144489
30_satellite,mean,0.6969696969696969,0.5111111111111111,1,0.3333333333333333,10,,30,composite_top_quartile,0,0.2993771209144489
30_satellite,varweight,0.6606060606060605,0.5555555555555555,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.2993771209144489
31_satimage-2,borda,0.9393939393939393,0.8222222222222221,1,1.0,10,,30,composite_top_quartile,0,0.036396232670653395
31_satimage-2,mean,0.9393939393939393,0.8222222222222221,1,1.0,10,,30,composite_top_quartile,0,0.036396232670653395
31_satimage-2,varweight,0.9393939393939393,0.8222222222222221,1,1.0,10,,30,composite_top_quartile,0,0.036396232670653395
32_shuttle,borda,0.8545454545454544,0.7333333333333333,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.02991837954340104
32_shuttle,mean,0.8545454545454544,0.7333333333333333,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.02991837954340104
32_shuttle,varweight,0.8424242424242423,0.6888888888888888,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.02991837954340104
35_SpamBase,borda,0.6504589317376691,0.4944132324730442,0,1.0,10,,30,composite_top_quartile,0,0.3140591637691359
35_SpamBase,mean,0.7212121212121211,0.5555555555555555,0,1.0,10,,30,composite_top_quartile,0,0.3140591637691359
35_SpamBase,varweight,0.7212121212121211,0.5555555555555555,0,1.0,10,,30,composite_top_quartile,0,0.3140591637691359
36_speech,borda,0.07878787878787878,0.06666666666666667,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.046896551724137925
36_speech,mean,0.06666666666666665,0.1111111111111111,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.046896551724137925
36_speech,varweight,0.09090909090909088,0.1111111111111111,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.046896551724137925
37_Stamps,borda,0.42553388057604524,0.26967994498529685,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.11134235171696139
37_Stamps,mean,0.4666666666666666,0.37777777777777777,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.11134235171696139
37_Stamps,varweight,0.5515151515151515,0.4222222222222222,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.11134235171696139
38_thyroid,borda,0.04242424242424241,0.022222222222222223,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.073851683029453
38_thyroid,mean,0.17575757575757575,0.1111111111111111,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.073851683029453
38_thyroid,varweight,0.1515151515151515,0.06666666666666667,0,0.0,10,,30,composite_top_quartile,0,0.073851683029453
39_vertebral,borda,-0.6121212121212121,-0.4666666666666666,0,0.0,10,,30,composite_top_quartile,0,0.20793650793650797
39_vertebral,mean,-0.5151515151515151,-0.37777777777777777,0,0.0,10,,30,composite_top_quartile,0,0.20793650793650797
39_vertebral,varweight,-0.43030303030303024,-0.28888888888888886,0,0.0,10,,30,composite_top_quartile,0,0.20793650793650797
40_vowels,borda,0.9636363636363635,0.911111111111111,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.5124822695035461
40_vowels,mean,0.9999999999999999,0.9999999999999999,1,1.0,10,,30,composite_top_quartile,0,0.5124822695035461
40_vowels,varweight,0.9878787878787878,0.9555555555555554,1,1.0,10,,30,composite_top_quartile,0,0.5124822695035461
41_Waveform,borda,0.6694619270045785,0.5352643613280604,1,0.6666666666666666,9,,30,composite_top_quartile,0,0.21808669656203283
41_Waveform,mean,0.5666666666666667,0.4444444444444444,1,0.6666666666666666,9,,30,composite_top_quartile,0,0.21808669656203283
41_Waveform,varweight,0.5666666666666667,0.4444444444444444,1,0.6666666666666666,9,,30,composite_top_quartile,0,0.21808669656203283
42_WBC,borda,-0.047940707594411956,0.027524094128159014,0,0.0,10,,30,composite_top_quartile,0,0.011627906976744207
42_WBC,mean,-0.05462309935991352,0.0,0,0.0,10,,30,composite_top_quartile,0,0.011627906976744207
42_WBC,varweight,-0.05462309935991352,0.0,0,0.0,10,,30,composite_top_quartile,0,0.011627906976744207
