modality,seed,dataset,regret,top1_agree,rank_margin,inter_regime_rho,rand_regret,best_is_local
cv,4,FashionMNIST_4,0.0,0.6666666666666666,0.10132865423251691,0.6222222222222222,0.08819370958259865,True
cv,4,FashionMNIST_5,0.027902116402116484,0.6666666666666666,0.1549881306407075,0.8200000000000001,0.028622574955908475,True
cv,4,FashionMNIST_6,0.0031984126984125894,0.6666666666666666,0.09812031321730053,0.8188888888888888,0.13035626102292752,True
cv,4,FashionMNIST_7,0.0,0.6666666666666666,0.14141704196273785,0.3688888888888888,0.017074661963550897,True
cv,4,FashionMNIST_8,0.0,0.6666666666666666,0.0955183527765795,0.5022222222222222,0.14411934156378603,True
cv,4,FashionMNIST_9,0.0,0.6666666666666666,0.14779950412113163,0.4133333333333334,0.02515667254556131,True
nlp,0,20news_0,0.0,0.6666666666666666,0.09130146838285136,0.6811111111111112,0.13492922421493847,True
nlp,0,20news_1,0.0,0.6666666666666666,0.13611606746460214,0.5777777777777778,0.06327568572756864,True
nlp,0,20news_2,0.0,0.8333333333333334,0.17734475270958783,0.7688888888888887,0.04183738917185437,True
nlp,0,20news_3,0.022222222222222143,0.6666666666666666,0.05334302256231638,0.5255555555555557,0.02630579297245972,True
nlp,0,20news_4,0.0,0.8333333333333334,0.116296978085489,0.9188888888888888,0.04479717813051143,True
nlp,0,20news_5,0.0,0.6666666666666666,0.0965163751321465,0.7811111111111111,0.03206360650484652,True
nlp,0,agnews_0,0.0,0.6666666666666666,0.1130667229544855,0.8277777777777778,0.11832140350877185,True
nlp,0,agnews_1,0.0,0.8333333333333334,0.09434872876282419,0.8077777777777777,0.20655894736842106,True
nlp,0,agnews_2,0.0,0.8333333333333334,0.1623574465804536,0.6666666666666666,0.11319543859649106,True
nlp,0,agnews_3,0.0,0.8333333333333334,0.16190590474313515,0.7966666666666666,0.15517637426900588,True
nlp,0,amazon,0.023525263157894605,0.6666666666666666,0.07363814518462097,0.4544444444444444,0.043241403508771925,True
nlp,0,imdb,0.0,0.6666666666666666,0.08317549522027168,0.5477777777777778,0.022087602339181334,True
nlp,0,yelp,0.002902105263157817,0.6666666666666666,0.1374363251076356,0.9366666666666668,0.06209134502923974,True
